Rk,Player,Age,Team,Pos,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,OWS,DWS,WS,WS/48,BPM,VORP,PER,Salary
94,Nic Claxton,23,BRK,C,76,29.9,9.2,1.9,0.9,2.5,1.3,2.8,12.6,132,108,5.2,4,9.2,0.195,3.1,2.9,20.8,9350000
412,Nick Richards,25,CHO,C,65,18.7,6.4,0.6,0.2,1.1,0.9,2.4,8.2,130,113,2.7,1.5,4.2,0.165,-1.3,0.2,18.3,1782621
6,Nickeil Alexander-Walker,24,2TM,SG,59,15,1.7,1.8,0.5,0.4,0.9,1.5,6.2,109,116,0.3,0.8,1.1,0.062,-0.9,0.2,11.6,5009633
33,Nicolas Batum,34,LAC,PF,78,21.9,3.8,1.6,0.7,0.6,0.6,1.9,6.1,120,114,1.7,1.9,3.6,0.101,0.5,1,11,19700319
249,Nikola Joki?,27,DEN,C,69,33.7,11.8,9.8,1.3,0.7,3.6,2.5,24.5,134,110,11.2,3.8,14.9,0.308,13,8.8,31.5,33047803
259,Nikola Jovi?,19,MIA,PF,15,13.6,2.1,0.7,0.5,0.1,0.7,1.3,5.5,105,114,0,0.2,0.2,0.053,-3.4,-0.1,10.6,2239920
489,Nikola Vu?evi?,32,CHI,C,82,33.5,11,3.2,0.7,0.7,1.7,2.2,17.6,117,110,3.9,4.4,8.3,0.145,2.7,3.2,19.1,22000000
488,Noah Vonleh,27,BOS,C,23,7.4,2.1,0.3,0.1,0.3,0.5,1.5,1.1,101,110,0,0.3,0.2,0.06,-6.3,-0.2,5.9,1160955
396,Norman Powell,29,LAC,SG,60,26.1,2.9,1.8,0.8,0.3,1.7,2.1,17,115,116,2.1,1.4,3.5,0.107,0.3,0.9,17.1,16758621
476,Obi Toppin,24,NYK,PF,67,15.7,2.8,1,0.3,0.2,0.6,1,7.4,116,116,1.1,1,2.1,0.095,-0.5,0.4,13.6,5348280
4,Ochai Agbaji,22,UTA,SG,59,20.5,2.1,1.1,0.3,0.3,0.7,1.7,7.9,115,121,0.9,0.4,1.3,0.053,-3,-0.3,9.5,3918360
14,OG Anunoby,25,TOR,SF,67,35.6,5,2,1.9,0.7,2,3,16.8,113,113,1.8,2.9,4.7,0.094,0.4,1.5,14.6,17357143
431,Olivier Sarr,23,OKC,C,9,12.7,3.4,0.4,0.1,0.6,0.4,1.9,4,116,114,0.1,0.1,0.2,0.094,-4.9,-0.1,11.5,257371
537,Omer Yurtseven,24,MIA,C,9,9.2,2.6,0.2,0.2,0.2,0.4,1.8,4.4,126,112,0.2,0.1,0.3,0.159,-3.9,0,16.7,1752638
372,Onyeka Okongwu,22,ATL,C,80,23.1,7.2,1,0.7,1.3,1,3.1,9.9,134,112,4.7,2.4,7.1,0.185,0.8,1.3,19.4,6395160
417,Orlando Robinson,22,MIA,C,31,13.7,4.1,0.8,0.4,0.4,0.5,1.7,3.7,122,111,0.5,0.6,1.1,0.129,-2.1,0,13.4,386055
59,Oshae Brissett,24,IND,PF,65,16.7,3.4,0.7,0.5,0.2,0.5,1.2,6.1,110,118,0.4,0.7,1.1,0.05,-3.2,-0.3,10.6,1846738
391,Otto Porter Jr.,29,TOR,SF,8,18.3,2.4,1,1.4,0,0.5,0.9,5.5,132,112,0.2,0.2,0.4,0.142,0.7,0.1,14,6000000
122,Ousmane Dieng,19,OKC,PF,39,14.6,2.7,1.2,0.4,0.2,0.7,1.1,4.9,103,115,-0.1,0.6,0.4,0.038,-3.6,-0.2,9.3,4569840
